Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_27_trace,219.70562553405762,Pass,218.76108050346375,40000052,6379483,6.2701,1891315,35147,0.2965,0.0055,1.8583%,0.8787,1156342,32.9002,28.9085,20000052,2958814,6.7595,940632,15064,0.3179,0.0051,1.6015%,0.7532,514661,34.1650,25.7330
int,int_0_trace,137.11144542694092,Pass,190.91331028938293,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_31_trace,118.0513105392456,Pass,196.99589896202087,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_12_trace,204.59925079345703,Pass,376.28050351142883,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_6_trace,130.25432968139648,Pass,185.86022424697876,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_35_trace,119.88736820220947,Pass,189.5927813053131,40000048,11494104,3.4800,5671843,98821,0.4935,0.0086,1.7423%,2.4705,5321108,53.8459,133.0275,20000048,5540568,3.6097,2842811,46795,0.5131,0.0084,1.6461%,2.3397,2485824,53.1216,124.2909
int,int_14_trace,177.29002475738525,Pass,213.4979591369629,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_2_trace,94.08823490142822,Pass,164.8269829750061,30000052,18002436,1.6664,5366311,274149,0.2981,0.0152,5.1087%,9.1383,14079324,51.3565,469.3100,15000052,8429322,1.7795,2681980,136752,0.3182,0.0162,5.0989%,9.1168,6500270,47.5333,433.3498
int,int_21_trace,91.63193035125732,Pass,202.19537448883057,40000052,46437161,0.8614,9059172,966011,0.1951,0.0208,10.6633%,24.1502,41560537,43.0228,1039.0121,20000052,22847486,0.8754,4504449,495434,0.1972,0.0217,10.9988%,24.7716,20377013,41.1296,1018.8480
int,int_32_trace,317.2076416015625,Pass,511.9934196472168,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
