Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_9_trace,143.53112411499023,Pass,280.68728590011597,40000016,16707684,2.3941,5012816,182074,0.3000,0.0109,3.6322%,4.5518,11928295,65.5134,298.2073,20000016,8027245,2.4915,2500178,98187,0.3115,0.0122,3.9272%,4.9093,5724562,58.3026,286.2279
fp,fp_1_trace,42.69381523132324,Pass,133.8265655040741,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_3_trace,223.02585411071777,Pass,229.3270697593689,30000052,12794203,2.3448,1539997,60945,0.1204,0.0048,3.9575%,2.0315,6715360,110.1872,223.8449,15000052,6386530,2.3487,770204,31215,0.1206,0.0049,4.0528%,2.0810,3393313,108.7078,226.2201
fp,fp_7_trace,159.0718936920166,Pass,276.9365043640137,40000016,7881807,5.0750,4716883,45110,0.5985,0.0057,0.9564%,1.1277,1932342,42.8362,48.3085,20000016,3719888,5.3765,2394520,19320,0.6437,0.0052,0.8068%,0.9660,828152,42.8650,41.4076
fp,fp_10_trace,270.7881956100464,Pass,313.74988865852356,40000016,6906521,5.7916,3492402,84696,0.5057,0.0123,2.4252%,2.1174,1849833,21.8409,46.2458,20000016,3394268,5.8923,1748758,40644,0.5152,0.0120,2.3242%,2.0322,890206,21.9025,44.5103
fp,fp_4_trace,106.30326175689697,Pass,197.4102852344513,30000052,6539941,4.5872,2573337,17207,0.3935,0.0026,0.6687%,0.5736,1010474,58.7246,33.6824,15000052,2608089,5.7514,1285217,6594,0.4928,0.0025,0.5131%,0.4396,284058,43.0783,18.9371
fp,fp_13_trace,84.63656806945801,Pass,211.6505081653595,40000016,15292133,2.6157,6454282,507592,0.4221,0.0332,7.8644%,12.6898,10787794,21.2529,269.6947,20000016,7507852,2.6639,3233671,254350,0.4307,0.0339,7.8657%,12.7175,5311866,20.8841,265.5931
fp,fp_11_trace,297.7953281402588,Pass,322.74535512924194,40000016,7618526,5.2504,3526510,27956,0.4629,0.0037,0.7927%,0.6989,614319,21.9745,15.3580,20000016,3681981,5.4319,1776440,13741,0.4825,0.0037,0.7735%,0.6870,296226,21.5578,14.8113
fp,fp_0_trace,64.73471260070801,Pass,143.4753577709198,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_2_trace,113.98153591156006,Pass,200.30752635002136,30000052,6215210,4.8269,2471756,76844,0.3977,0.0124,3.1089%,2.5615,2698134,35.1118,89.9376,15000052,3067702,4.8897,1232306,39203,0.4017,0.0128,3.1813%,2.6135,1356681,34.6066,90.4451
