Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_18_trace,108.31880569458008,Pass,252.29508566856384,39999864,10819270,3.6971,9457814,33973,0.8742,0.0031,0.3592%,0.8493,1512896,44.5323,37.8225,20999864,5170578,4.0614,4985263,14802,0.9642,0.0029,0.2969%,0.7049,604805,40.8597,28.8004
int,int_15_trace,98.1560001373291,Pass,348.83119678497314,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_36_trace,201.8018684387207,Pass,301.796085357666,53761949,35580160,1.5110,7755130,214658,0.2180,0.0060,2.7679%,3.9927,9779670,45.5593,181.9069,27761949,15412502,1.8013,4116890,106110,0.2671,0.0069,2.5774%,3.8221,4372152,41.2040,157.4872
int,int_23_trace,182.35865116119385,Pass,230.39639973640442,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
int,int_9_trace,152.5840139389038,Pass,209.46020412445068,40000050,14339907,2.7894,5800876,194119,0.4045,0.0135,3.3464%,4.8530,4531991,23.3465,113.2996,20000050,6021303,3.3215,2893544,92389,0.4806,0.0153,3.1929%,4.6194,2100197,22.7321,105.0096
int,int_1_trace,92.84952068328857,Pass,162.42775559425354,30000052,16372206,1.8324,5301134,207328,0.3238,0.0127,3.9110%,6.9109,12333172,59.4863,411.1050,15000052,7759432,1.9331,2642836,103198,0.3406,0.0133,3.9048%,6.8798,5778124,55.9907,385.2069
int,int_28_trace,185.9219560623169,Pass,186.3673951625824,40000052,8459793,4.7283,4006233,146982,0.4736,0.0174,3.6688%,3.6745,3712007,25.2548,92.8001,20000052,4108393,4.8681,1994428,68750,0.4855,0.0167,3.4471%,3.4375,1767462,25.7085,88.3729
int,int_5_trace,138.47165870666504,Pass,200.67122054100037,30000052,6651431,4.5103,2565027,85651,0.3856,0.0129,3.3392%,2.8550,3097648,36.1659,103.2548,15000052,3316396,4.5230,1297750,42168,0.3913,0.0127,3.2493%,2.8112,1554099,36.8549,103.6062
int,int_29_trace,181.88746547698975,Pass,165.52966403961182,40000052,15975083,2.5039,4048870,499387,0.2534,0.0313,12.3340%,12.4847,12124994,24.2798,303.1245,20000052,7739823,2.5840,2031315,243245,0.2624,0.0314,11.9748%,12.1622,5847637,24.0401,292.3811
int,int_20_trace,187.00185585021973,Pass,218.5742335319519,60000051,17314691,3.4653,9561405,167187,0.5522,0.0097,1.7486%,2.7864,5281877,31.5926,88.0312,30000051,7182878,4.1766,4877083,80425,0.6790,0.0112,1.6490%,2.6808,2242046,27.8775,74.7347
int,int_8_trace,137.59827327728271,Pass,167.33980655670166,40000052,16304946,2.4532,5678944,286709,0.3483,0.0176,5.0486%,7.1677,6617875,23.0822,165.4467,20000052,6548283,3.0542,2813189,131548,0.4296,0.0201,4.6761%,6.5774,2943925,22.3791,147.1959
int,int_30_trace,182.9177484512329,Pass,170.86225080490112,40000052,16300556,2.4539,4219863,517526,0.2589,0.0317,12.2640%,12.9381,12403409,23.9667,310.0848,20000052,7922472,2.5245,2099953,251310,0.2651,0.0317,11.9674%,12.5655,6003255,23.8878,300.1620
int,int_17_trace,128.60758018493652,Pass,156.04851531982422,39999987,16617556,2.4071,6659971,255590,0.4008,0.0154,3.8377%,6.3898,5851887,22.8956,146.2972,20999987,6685384,3.1412,3432362,119597,0.5134,0.0179,3.4844%,5.6951,2624197,21.9420,124.9618
int,int_24_trace,145.24023818969727,Pass,192.24006748199463,40000051,14575551,2.7443,8385203,22650,0.5753,0.0016,0.2701%,0.5662,2691771,118.8420,67.2942,20000051,6920939,2.8898,4599578,9644,0.6646,0.0014,0.2097%,0.4822,1171876,121.5135,58.5937
int,int_11_trace,203.19092559814453,Pass,203.2956087589264,60000052,16565909,3.6219,4130584,252356,0.2493,0.0152,6.1095%,4.2059,9158351,36.2914,152.6391,30000052,8289301,3.6191,2064453,127619,0.2491,0.0154,6.1817%,4.2540,4627734,36.2621,154.2575
int,int_34_trace,112.3776216506958,Pass,127.54132413864136,40000052,11174604,3.5795,6380286,122813,0.5710,0.0110,1.9249%,3.0703,5660656,46.0917,141.5162,20000052,4948130,4.0419,3101677,63963,0.6268,0.0129,2.0622%,3.1981,2552654,39.9083,127.6324
